category,region,price,avg_price_category_region,supplier_id,supplier_name,supplier_win_count,days_to_tender,price_per_unit,supplier_years_active,supplier_total_contracts,supplier_avg_contract_value,is_suspicious
Продукты,Шымкент,2330669,2771334,BIN685993376071,ТОО АстанаСнаб 293,8,1,2503.4,9,468,15670641,0
Канцелярия,Атырау,3065724,3531968,BIN279557759333,ТОО ТехИмпорт 752,1,3,20302.81,1,30,15813324,0
Канцелярия,Шымкент,4085075,3258798,BIN764755068340,ТОО Медика 520,5,10,7141.74,1,297,7387262,0
Медикаменты,Астана,2191864,1526213,BIN946110966393,ТОО ТехИмпорт 812,7,1,4081.68,5,390,5613077,1
Продукты,Астана,1443777,1208300,BIN263290660943,ТОО ЭкоПоставка 13,3,8,1729.07,15,397,6883267,0
Строительство,Актобе,1289769,877160,BIN898652739950,ТОО ПрофСтрой 337,14,2,1321.48,3,243,17464579,1
Строительство,Алматы,3520272,4224698,BIN547304858863,ТОО ТехИмпорт 391,13,4,3647.95,5,112,1390855,0
Продукты,Шымкент,3973190,4875515,BIN283719558288,ТОО ТехИмпорт 525,9,10,5262.5,9,431,5269451,0
Техника,Алматы,3768156,2871452,BIN594166968511,ТОО ЭкоПоставка 249,12,8,27305.48,2,236,7918600,0
Техника,Шымкент,1128881,875297,BIN942992830419,ТОО ЭкоПоставка 873,10,7,4908.18,7,135,17218861,0
Медикаменты,Атырау,3136805,2171992,BIN492477660487,ТОО ПрофСтрой 218,11,4,7881.42,14,410,11037025,1
Техника,Шымкент,655730,596106,BIN324686061902,ТОО ТехИмпорт 139,11,7,5083.18,3,19,10782733,0
Продукты,Алматы,1411087,1759436,BIN995648076233,ТОО ПрофСтрой 296,2,6,2347.9,1,500,12704666,0
Канцелярия,Атырау,1304549,1431600,BIN182086953667,ТОО Медика 249,8,1,3583.93,5,472,19701564,0
Продукты,Атырау,1976984,1967578,BIN683092232513,ТОО АстанаСнаб 411,4,8,4188.53,3,56,5040234,0
Продукты,Актобе,1035010,690905,BIN353600621533,ТОО ТехИмпорт 555,4,5,1871.63,2,201,18967099,1
Техника,Атырау,6037237,4312994,BIN702389269201,ТОО АстанаСнаб 171,14,1,10391.11,1,410,13350660,1
Строительство,Атырау,5083503,3694598,BIN724770247106,ТОО ПрофСтрой 636,10,3,24919.13,9,437,4971702,0
Канцелярия,Алматы,4245134,4224035,BIN241500151522,ТОО ЭкоПоставка 177,7,8,55857.03,4,414,18042017,0
Канцелярия,Астана,5545480,4094050,BIN652126729009,ТОО СнабKZ 633,12,9,26035.12,14,291,2855497,0
Строительство,Атырау,6211511,4670390,BIN740638526690,ТОО ПрофСтрой 892,15,1,8416.68,13,251,13743395,1
Медикаменты,Актобе,1432388,1489169,BIN919307011269,ТОО АстанаСнаб 391,3,6,1824.7,7,332,13514439,0
Строительство,Атырау,1460624,1227710,BIN722140120500,ТОО ЭкоПоставка 53,5,9,1592.83,3,46,15551278,0
Медикаменты,Атырау,6657723,4805813,BIN936063917834,ТОО СнабKZ 439,11,7,15851.72,2,81,5591422,0
Техника,Алматы,3171795,4311018,BIN763003931862,ТОО ТехИмпорт 945,8,4,21005.26,14,379,16936341,0
Техника,Шымкент,2220722,1842141,BIN327337374819,ТОО ЭкоПоставка 49,3,4,38960.04,6,127,7011659,0
Канцелярия,Астана,1914091,2520705,BIN818079071981,ТОО ПрофСтрой 124,5,1,3363.96,8,288,7808786,0
Техника,Шымкент,1423374,1694275,BIN492734180655,ТОО АстанаСнаб 111,15,1,7299.35,13,446,2129392,1
Продукты,Актобе,2488633,3003570,BIN392843401788,ТОО Медика 899,6,9,57875.19,12,439,7987591,0
Строительство,Шымкент,6989736,4485879,BIN169382218518,ТОО СнабKZ 933,11,3,7060.34,7,376,8698914,1
Медикаменты,Актобе,2467779,2151427,BIN201712670593,ТОО ПрофСтрой 713,13,3,5483.95,9,250,4709836,0
Канцелярия,Астана,4105906,3693857,BIN209397430434,ТОО СнабKZ 746,8,5,46658.02,3,137,12674606,0
Продукты,Атырау,4026962,3277630,BIN510267575861,ТОО ПрофСтрой 92,1,9,4325.42,13,48,6292978,0
Продукты,Актобе,1084811,1092711,BIN657245627221,ТОО ЭкоПоставка 145,15,9,4017.82,3,160,15823187,0
Продукты,Алматы,1862596,1975060,BIN507011178096,ТОО АстанаСнаб 428,11,3,5006.98,6,427,1881475,0
Канцелярия,Атырау,2901717,2528935,BIN124533988092,ТОО Медика 600,5,4,2933.99,8,42,4869053,0
Строительство,Алматы,2530837,1689654,BIN209054310329,ТОО Медика 956,1,7,4023.59,8,126,8502970,0
Продукты,Атырау,4061243,4065838,BIN328567250930,ТОО АстанаСнаб 996,15,4,14452.82,3,388,13340018,0
Техника,Актобе,4105924,4180481,BIN159748791677,ТОО ТехИмпорт 865,1,10,15435.8,3,253,11187950,0
Медикаменты,Шымкент,3508291,2957918,BIN445152740154,ТОО АстанаСнаб 817,13,6,8453.71,6,290,12494055,0
Канцелярия,Атырау,2969590,3650202,BIN590313963961,ТОО ПрофСтрой 768,9,9,5033.2,10,279,18075014,0
Медикаменты,Актобе,2601581,2957782,BIN462279803630,ТОО АстанаСнаб 742,1,5,2773.54,8,454,10059247,0
Продукты,Алматы,2321675,2733296,BIN603963278074,ТОО ЭкоПоставка 730,12,5,10601.26,6,193,3281345,0
Канцелярия,Актобе,2457890,1593741,BIN813684346349,ТОО Медика 107,10,2,21945.45,1,23,1700136,1
Строительство,Актобе,3165782,2358932,BIN637750393780,ТОО СнабKZ 424,2,7,90450.91,9,269,8949529,0
Продукты,Актобе,2031717,2475548,BIN549549471314,ТОО ТехИмпорт 693,7,10,12778.09,9,175,11630963,0
Продукты,Астана,3892533,4266959,BIN365742393290,ТОО ПрофСтрой 943,1,5,9312.28,14,430,8462490,0
Медикаменты,Шымкент,5727953,3773126,BIN573178899099,ТОО ЭкоПоставка 313,14,7,6786.67,12,441,14665726,1
Техника,Актобе,3079848,2168923,BIN822430823637,ТОО ЭкоПоставка 145,13,5,4659.38,12,481,10284708,1
Продукты,Астана,4047393,3848474,BIN149308108765,ТОО Медика 400,6,8,5891.4,13,419,10090316,0
Продукты,Атырау,3869250,2596367,BIN148369860827,ТОО ЭкоПоставка 794,11,9,6694.2,10,387,11048172,1
Канцелярия,Шымкент,6278642,4124498,BIN812817296179,ТОО ЭкоПоставка 382,8,5,6976.27,7,241,15946868,0
Строительство,Актобе,912378,596583,BIN603370730866,ТОО Медика 556,1,3,152063.0,3,322,8626027,0
Медикаменты,Шымкент,1483068,1213842,BIN736092472880,ТОО ПрофСтрой 893,5,5,4960.09,13,316,4087996,0
Техника,Актобе,2020526,2017144,BIN331870306455,ТОО Медика 862,3,9,6353.86,5,271,17213841,0
Продукты,Алматы,2525654,3288659,BIN511652564595,ТОО Медика 972,8,7,3413.05,8,21,19894947,0
Канцелярия,Актобе,2506265,3318116,BIN753978557236,ТОО ЭкоПоставка 325,1,7,3306.42,3,446,2297637,0
Медикаменты,Атырау,3329608,3498489,BIN732738803362,ТОО ТехИмпорт 682,1,9,6188.86,2,106,10122221,0
Медикаменты,Актобе,3283939,4462884,BIN401010213473,ТОО АстанаСнаб 808,4,9,11057.03,11,83,19334879,0
Медикаменты,Алматы,605699,611103,BIN591224400379,ТОО ЭкоПоставка 310,15,2,679.8,6,100,4041752,0
Канцелярия,Алматы,2061385,1608642,BIN105785207613,ТОО АстанаСнаб 437,10,7,2228.52,14,489,3874089,0
Строительство,Шымкент,2725096,3426497,BIN809536362948,ТОО ТехИмпорт 493,10,8,16124.83,4,249,18504585,0
Канцелярия,Астана,2991517,2900352,BIN936754683478,ТОО ПрофСтрой 871,14,2,213679.79,6,153,16953909,0
Продукты,Алматы,1812037,1225797,BIN112987043323,ТОО Медика 431,3,3,2783.47,9,213,7249618,0
Техника,Алматы,3687923,2313684,BIN794426672619,ТОО Медика 297,15,10,10506.9,3,378,14454979,1
Канцелярия,Шымкент,1451592,1462724,BIN626084566287,ТОО ТехИмпорт 507,9,3,11166.09,14,204,1247419,0
Канцелярия,Астана,1698139,1299511,BIN572539112838,ТОО ЭкоПоставка 644,14,1,3000.25,14,273,17504813,1
Техника,Астана,1759258,1832911,BIN808053781973,ТОО СнабKZ 315,1,6,4605.39,9,427,15514874,0
Канцелярия,Актобе,2131105,2785211,BIN381922380611,ТОО ТехИмпорт 783,8,5,6477.52,12,72,16930928,0
Продукты,Актобе,2951573,1944698,BIN754978246072,ТОО ПрофСтрой 936,5,2,5709.04,9,229,7728211,0
Канцелярия,Астана,2983967,3902433,BIN306214700465,ТОО ПрофСтрой 306,2,7,3177.81,1,208,10461594,0
Продукты,Алматы,2503033,2429961,BIN597746492097,ТОО АстанаСнаб 518,3,5,12705.75,11,110,9715094,0
Канцелярия,Актобе,1461454,1488566,BIN966573243569,ТОО ЭкоПоставка 194,10,5,2001.99,14,38,5348018,0
Канцелярия,Алматы,4348097,4093982,BIN483618954012,ТОО АстанаСнаб 882,13,1,5354.8,4,264,19308538,1
Продукты,Атырау,7463186,4825966,BIN866512399678,ТОО СнабKZ 487,5,10,17275.89,15,302,3782351,0
Медикаменты,Шымкент,631550,882988,BIN236915725799,ТОО ЭкоПоставка 848,5,6,2757.86,8,89,1119511,0
Канцелярия,Атырау,2653156,2373470,BIN250838446263,ТОО ПрофСтрой 932,10,9,6683.01,11,458,5452178,0
Канцелярия,Астана,5121916,3978178,BIN173969611028,ТОО ПрофСтрой 224,7,10,26266.24,7,212,14245622,0
Медикаменты,Актобе,5953043,4440497,BIN191893781242,ТОО ЭкоПоставка 103,10,6,7632.11,13,453,5363782,0
Канцелярия,Астана,1917857,1686164,BIN391258173540,ТОО ТехИмпорт 191,5,3,11553.36,9,158,8099042,0
Техника,Алматы,1452439,1557234,BIN623963413428,ТОО Медика 80,15,1,2132.8,12,135,5628598,1
Строительство,Астана,1154310,1201195,BIN889278523977,ТОО СнабKZ 849,1,4,17489.55,15,476,5889295,0
Медикаменты,Шымкент,4629266,4199804,BIN812117660376,ТОО ТехИмпорт 189,15,2,9998.41,14,155,1200197,0
Продукты,Атырау,1545471,2050456,BIN179701725564,ТОО Медика 487,12,8,8007.62,2,497,12179210,1
Строительство,Алматы,2561809,2497634,BIN290328934652,ТОО ПрофСтрой 732,3,7,4447.59,3,176,15689040,0
Канцелярия,Актобе,3320965,4339892,BIN706582580120,ТОО АстанаСнаб 687,3,1,4203.75,4,148,11320934,0
Медикаменты,Астана,2413004,2382640,BIN211817125486,ТОО АстанаСнаб 693,10,2,9174.92,9,197,13065095,0
Продукты,Атырау,4502410,4641774,BIN594285795407,ТОО ПрофСтрой 13,11,1,10875.39,3,393,1412773,1
Канцелярия,Шымкент,4006043,3325360,BIN604352707340,ТОО ТехИмпорт 84,6,10,7015.84,15,281,8624367,0
Техника,Алматы,3355560,4041566,BIN385480191699,ТОО СнабKZ 206,13,10,4087.16,6,85,14775798,0
Техника,Алматы,970892,983912,BIN349640167811,ТОО ЭкоПоставка 25,1,2,5136.99,9,195,9952335,0
Канцелярия,Алматы,4402449,3839034,BIN768370998303,ТОО ЭкоПоставка 103,2,2,8840.26,2,488,9123751,0
Продукты,Шымкент,2527174,1929814,BIN994678941530,ТОО ЭкоПоставка 884,2,10,9871.77,13,447,8940140,0
Медикаменты,Алматы,3665582,3494808,BIN665607448758,ТОО ТехИмпорт 379,12,4,3874.82,5,257,19255045,0
Канцелярия,Актобе,4975282,3420562,BIN329126597659,ТОО ТехИмпорт 727,11,3,20644.32,6,452,16060562,1
Продукты,Шымкент,2907564,3251093,BIN374797442729,ТОО ЭкоПоставка 684,13,3,8144.44,8,145,12434918,0
Продукты,Шымкент,3756399,2512948,BIN155927060344,ТОО АстанаСнаб 85,15,2,4471.9,15,428,10183050,1
Медикаменты,Алматы,5598077,4609867,BIN533094368005,ТОО СнабKZ 224,15,2,6843.61,7,316,10133417,0
Техника,Алматы,1107102,1165689,BIN443934367991,ТОО Медика 459,7,1,7283.57,6,441,18668167,0
Медикаменты,Актобе,5626537,4341711,BIN183401704521,ТОО Медика 389,9,7,39346.41,2,394,16813025,0
Продукты,Алматы,2803213,2726436,BIN489707532148,ТОО ЭкоПоставка 24,7,7,7617.43,6,50,9645894,0
Продукты,Актобе,6930106,4473923,BIN948984716055,ТОО ТехИмпорт 980,12,7,10580.31,5,409,1541949,1
Техника,Алматы,1996436,1285307,BIN847198069151,ТОО СнабKZ 161,15,6,3937.74,12,126,10013776,1
Техника,Астана,792535,765613,BIN147407963133,ТОО ТехИмпорт 218,7,3,1572.49,13,40,9011472,0
Строительство,Шымкент,1639685,1224890,BIN985922625318,ТОО ЭкоПоставка 63,11,2,2503.34,2,335,4506170,0
Канцелярия,Астана,1686188,1659331,BIN230075572375,ТОО СнабKZ 996,14,6,3060.23,4,355,13597423,0
Строительство,Алматы,3685169,4120668,BIN331682734932,ТОО СнабKZ 971,2,2,11588.58,4,443,6117324,0
Канцелярия,Атырау,4585836,3592628,BIN156707766517,ТОО ЭкоПоставка 688,7,4,5028.33,7,165,5059894,0
Техника,Актобе,3112111,2016549,BIN949443807830,ТОО СнабKZ 89,14,1,6019.56,6,463,1486817,1
Медикаменты,Актобе,1677681,1313304,BIN933868048449,ТОО АстанаСнаб 348,5,4,8647.84,14,290,19724080,0
Техника,Актобе,3209558,2484123,BIN126195976083,ТОО СнабKZ 517,10,1,8965.25,1,476,2649382,1
Строительство,Атырау,2463521,3028546,BIN366889817593,ТОО Медика 818,1,1,2925.8,5,426,3461322,0
Канцелярия,Шымкент,602157,641531,BIN406357375457,ТОО Медика 428,11,3,828.28,4,442,3719533,0
Медикаменты,Актобе,6128896,4519172,BIN169141201257,ТОО СнабKZ 346,10,1,16745.62,4,309,9896848,1
Техника,Актобе,2695400,2163830,BIN908103585167,ТОО Медика 361,1,7,5722.72,3,361,10164265,0
Продукты,Актобе,4258030,3053816,BIN111113092876,ТОО ТехИмпорт 647,8,9,9137.4,10,472,4875869,0
Продукты,Астана,897367,683791,BIN235134106586,ТОО ЭкоПоставка 228,12,10,1251.56,10,67,4645763,0
Техника,Шымкент,652572,567129,BIN810814801839,ТОО ЭкоПоставка 232,6,6,665.21,2,126,14417701,0
Канцелярия,Алматы,3261179,2460027,BIN647749516377,ТОО Медика 436,8,4,3290.8,1,241,5593626,0
Канцелярия,Актобе,1820618,1686715,BIN595132755407,ТОО ЭкоПоставка 57,14,5,18577.73,13,188,18901787,0
Техника,Актобе,3024982,2129642,BIN307259700432,ТОО СнабKZ 464,14,6,88970.06,9,406,3034373,1
Техника,Астана,2126078,2046169,BIN588152619908,ТОО Медика 724,15,6,2362.31,3,385,18105071,0
Техника,Актобе,7782578,4988507,BIN258231817848,ТОО ТехИмпорт 488,8,5,11478.73,15,207,4826607,0
Техника,Атырау,3546536,4612997,BIN865226070728,ТОО Медика 55,10,7,12187.41,13,205,15976972,0
Строительство,Актобе,4449963,4480186,BIN320194640138,ТОО ТехИмпорт 666,11,1,8899.93,14,136,11666962,1
Техника,Атырау,735409,766782,BIN915401922875,ТОО Медика 193,3,3,1037.25,2,184,6406879,0
Техника,Шымкент,6787762,4360803,BIN970636007565,ТОО Медика 994,15,10,377097.89,2,142,10506046,1
Медикаменты,Актобе,6337233,4509036,BIN597487770876,ТОО ЭкоПоставка 273,8,2,16589.62,3,438,3790327,0
Строительство,Шымкент,1598139,1905896,BIN288881117305,ТОО АстанаСнаб 832,13,4,3400.3,3,247,16299590,0
Медикаменты,Актобе,2557625,2513017,BIN482555450397,ТОО ТехИмпорт 461,9,2,4502.86,9,392,15786422,0
Канцелярия,Актобе,1185694,1167637,BIN149820541583,ТОО АстанаСнаб 529,8,9,1396.58,11,75,12344238,0
Техника,Шымкент,4789344,3158296,BIN629331882012,ТОО ТехИмпорт 512,12,6,20555.12,14,494,14833232,1
Продукты,Шымкент,650565,690672,BIN693759942993,ТОО СнабKZ 449,3,2,1129.45,8,136,9457562,0
Строительство,Шымкент,2620282,1856640,BIN236244695505,ТОО ЭкоПоставка 100,10,9,27875.34,12,60,11497552,1
Медикаменты,Атырау,6610445,4778796,BIN253392532790,ТОО ЭкоПоставка 307,1,3,38210.66,15,324,9695068,0
Канцелярия,Шымкент,3582651,2604802,BIN735286056522,ТОО ТехИмпорт 780,3,7,5615.44,12,20,10655784,0
Строительство,Шымкент,4753490,3680378,BIN700930191913,ТОО ЭкоПоставка 373,14,8,6829.73,5,81,10998114,0
Техника,Атырау,5481781,3436861,BIN339061512287,ТОО ЭкоПоставка 854,1,1,9259.77,12,209,12441185,1
Канцелярия,Атырау,2641611,1766213,BIN307700452092,ТОО ПрофСтрой 145,12,8,5584.8,14,132,19992475,1
Продукты,Астана,5372037,4540551,BIN192739433300,ТОО Медика 351,10,7,6174.76,9,201,19715937,0
Продукты,Алматы,4713890,4657148,BIN121136366420,ТОО ТехИмпорт 3,10,6,13278.56,15,31,4075415,0
Продукты,Атырау,818620,803925,BIN783919532562,ТОО АстанаСнаб 498,4,8,872.73,13,407,9695625,0
Медикаменты,Актобе,3356419,2363409,BIN865960828858,ТОО ЭкоПоставка 876,9,4,5660.07,15,320,2245792,0
Техника,Актобе,5133679,4742203,BIN845244037151,ТОО ТехИмпорт 596,9,9,10853.44,7,403,4172488,0
Медикаменты,Астана,1517408,1239374,BIN429058315999,ТОО ЭкоПоставка 693,4,2,1947.89,6,88,4985349,0
Строительство,Актобе,4266309,3311176,BIN863020701863,ТОО ТехИмпорт 481,3,8,39502.86,1,285,6635058,0
Строительство,Алматы,2740494,3042926,BIN108458413010,ТОО Медика 922,14,1,249135.82,11,106,12938820,1
Техника,Атырау,6045053,4546435,BIN263865450362,ТОО СнабKZ 161,13,10,32675.96,9,75,4141918,0
Строительство,Астана,1586962,2015807,BIN745301169345,ТОО АстанаСнаб 841,10,7,4069.13,9,235,17235335,0
Продукты,Атырау,2110774,1816677,BIN712635129884,ТОО СнабKZ 801,15,2,2319.53,1,157,19171644,1
Техника,Актобе,3136835,2482928,BIN416541134314,ТОО АстанаСнаб 432,9,2,4291.16,4,200,2914063,0
Строительство,Актобе,3496816,3950133,BIN690558565097,ТОО АстанаСнаб 39,6,4,4796.73,13,251,5341668,0
Техника,Астана,2385098,2275337,BIN231476969889,ТОО Медика 729,10,3,25646.22,4,464,10251831,0
Медикаменты,Шымкент,1171883,1353291,BIN784689444042,ТОО ЭкоПоставка 878,4,3,2119.14,12,477,17082482,0
